platform,topic,size_quantile,growth_sigma,size_threshold,growth_threshold,sse_events,sse_rate
linkedin,economy,0.975,2.0,130.0,44.28193647168877,379,0.011460884816595603
linkedin,economy,0.975,3.0,130.0,64.81882389945235,313,0.009465057909220115
linkedin,economy,0.975,4.0,130.0,85.35571132721593,273,0.008255465844144062
linkedin,economy,0.99,2.0,353.3199999999997,44.28193647168877,233,0.007045873779068009
linkedin,economy,0.99,3.0,353.3199999999997,64.81882389945235,201,0.006078200127007167
linkedin,economy,0.99,4.0,353.3199999999997,85.35571132721593,179,0.005412924491215338
linkedin,microsoft,0.95,2.0,140.0,56.602186977678286,290,0.014008308376002318
linkedin,microsoft,0.95,3.0,140.0,83.00231116527479,225,0.010868515119312144
linkedin,microsoft,0.95,4.0,140.0,109.40243535287132,191,0.009226161723504975
linkedin,microsoft,0.975,2.0,274.9499999999971,56.602186977678286,211,0.01019225195633272
linkedin,microsoft,0.975,3.0,274.9499999999971,83.00231116527479,175,0.008453289537242779
linkedin,microsoft,0.975,4.0,274.9499999999971,109.40243535287132,153,0.007390590281132258
linkedin,microsoft,0.99,2.0,554.9600000000064,56.602186977678286,130,0.00627958651338035
linkedin,microsoft,0.99,3.0,554.9600000000064,83.00231116527479,110,0.005313496280552604
linkedin,microsoft,0.99,4.0,554.9600000000064,109.40243535287132,97,0.0046855376292145685
linkedin,obama,0.95,2.0,33.0,21.376017928278383,458,0.01686489671171337
linkedin,obama,0.95,3.0,33.0,30.664511473386977,297,0.010936406819604522
linkedin,obama,0.95,4.0,33.0,39.953005018495574,218,0.008027396251426889
linkedin,obama,0.975,2.0,67.0,21.376017928278383,337,0.012409323562985602
linkedin,obama,0.975,3.0,67.0,30.664511473386977,240,0.008837500460286482
linkedin,obama,0.975,4.0,67.0,39.953005018495574,193,0.0071068232868137125
linkedin,obama,0.99,2.0,148.0,21.376017928278383,193,0.0071068232868137125
linkedin,obama,0.99,3.0,148.0,30.664511473386977,154,0.005670729462017159
linkedin,obama,0.99,4.0,148.0,39.953005018495574,127,0.00467651066023493
linkedin,palestine,0.95,2.0,3.0,10.037976344844793,42,0.005420054200542005
linkedin,palestine,0.95,3.0,3.0,13.994686937196017,23,0.0029681249193444317
linkedin,palestine,0.95,4.0,3.0,17.95139752954724,14,0.0018066847335140017
linkedin,palestine,0.975,2.0,7.0,10.037976344844793,42,0.005420054200542005
linkedin,palestine,0.975,3.0,7.0,13.994686937196017,23,0.0029681249193444317
linkedin,palestine,0.975,4.0,7.0,17.95139752954724,14,0.0018066847335140017
linkedin,palestine,0.99,2.0,21.0,10.037976344844793,32,0.004129565105174861
linkedin,palestine,0.99,3.0,21.0,13.994686937196017,22,0.002839076009807717
linkedin,palestine,0.99,4.0,21.0,17.95139752954724,14,0.0018066847335140017
