event_id,is_sse,final_cascade_size,time_to_sse_minutes,graph_nodes,graph_edges,graph_cross_edge_ratio,split
synthetic_sse_graph::00000087,0,6,,6,5,0.0,train
synthetic_sse_graph::00000088,0,2,,2,1,0.0,train
synthetic_sse_graph::00000089,0,1,,1,0,0.0,train
synthetic_sse_graph::00000090,0,12,,12,11,0.0,train
synthetic_sse_graph::00000091,0,3,,3,2,0.0,train
synthetic_sse_graph::00000092,0,1,,1,0,0.0,train
synthetic_sse_graph::00000093,0,8,,8,7,0.0,train
synthetic_sse_graph::00000094,0,1,,1,0,0.0,train
synthetic_sse_graph::00000095,0,1,,1,0,0.0,train
synthetic_sse_graph::00000096,0,1,,1,0,0.0,train
synthetic_sse_graph::00000097,0,2,,2,1,0.0,train
synthetic_sse_graph::00000098,0,1,,1,0,0.0,train
synthetic_sse_graph::00000099,0,2,,2,1,0.0,train
synthetic_sse_graph::00000100,0,6,,6,5,0.0,train
synthetic_sse_graph::00000101,0,3,,3,2,0.0,train
synthetic_sse_graph::00000102,0,1,,1,0,0.0,train
synthetic_sse_graph::00000103,0,13,,13,12,0.0,train
synthetic_sse_graph::00000104,0,1,,1,0,0.0,train
synthetic_sse_graph::00000105,0,2,,2,1,0.0,train
synthetic_sse_graph::00000106,0,1,,1,0,0.0,train
synthetic_sse_graph::00000107,0,10,,10,9,0.1111111111111111,train
synthetic_sse_graph::00000108,0,1,,1,0,0.0,train
synthetic_sse_graph::00000109,0,1,,1,0,0.0,train
synthetic_sse_graph::00000110,0,1,,1,0,0.0,train
synthetic_sse_graph::00000111,0,1,,1,0,0.0,train
synthetic_sse_graph::00000112,0,6,,6,5,0.0,train
synthetic_sse_graph::00000113,0,2,,2,1,0.0,train
synthetic_sse_graph::00000114,0,1,,1,0,0.0,train
synthetic_sse_graph::00000115,0,4,,4,3,0.0,train
synthetic_sse_graph::00000116,0,12,,12,11,0.0,train
synthetic_sse_graph::00000117,0,1,,1,0,0.0,train
synthetic_sse_graph::00000118,0,2,,2,1,0.0,train
synthetic_sse_graph::00000119,0,4,,4,3,0.0,train
synthetic_sse_graph::00000120,0,2,,2,1,0.0,train
synthetic_sse_graph::00000121,0,2,,2,1,0.0,train
synthetic_sse_graph::00000122,0,1,,1,0,0.0,train
synthetic_sse_graph::00000123,0,6,,6,5,0.0,train
synthetic_sse_graph::00000124,0,1,,1,0,0.0,train
synthetic_sse_graph::00000125,0,1,,1,0,0.0,train
synthetic_sse_graph::00000126,0,1,,1,0,0.0,train
synthetic_sse_graph::00000127,0,2,,2,1,0.0,train
synthetic_sse_graph::00000128,0,2,,2,1,0.0,train
synthetic_sse_graph::00000129,0,3,,3,2,0.0,train
synthetic_sse_graph::00000130,0,3,,3,2,0.0,train
synthetic_sse_graph::00000131,0,1,,1,0,0.0,train
synthetic_sse_graph::00000132,0,2,,2,1,0.0,train
synthetic_sse_graph::00000133,0,1,,1,0,0.0,train
synthetic_sse_graph::00000134,0,20,,20,19,0.0,train
synthetic_sse_graph::00000135,0,1,,1,0,0.0,train
synthetic_sse_graph::00000136,0,1,,1,0,0.0,train
synthetic_sse_graph::00000137,0,1,,1,0,0.0,train
synthetic_sse_graph::00000138,0,1,,1,0,0.0,train
synthetic_sse_graph::00000139,0,1,,1,0,0.0,train
synthetic_sse_graph::00000140,0,1,,1,0,0.0,train
synthetic_sse_graph::00000141,0,1,,1,0,0.0,train
synthetic_sse_graph::00000142,0,13,,13,12,0.0,train
synthetic_sse_graph::00000143,0,14,,14,13,0.0,train
synthetic_sse_graph::00000144,0,5,,5,4,0.0,train
synthetic_sse_graph::00000145,0,3,,3,2,0.0,train
synthetic_sse_graph::00000146,0,2,,2,1,0.0,train
synthetic_sse_graph::00000147,0,1,,1,0,0.0,train
synthetic_sse_graph::00000148,0,1,,1,0,0.0,train
synthetic_sse_graph::00000149,1,320,40.0,64,63,0.1111111111111111,train
synthetic_sse_graph::00000150,0,1,,1,0,0.0,train
synthetic_sse_graph::00000151,0,1,,1,0,0.0,train
synthetic_sse_graph::00000152,0,1,,1,0,0.0,train
synthetic_sse_graph::00000153,0,1,,1,0,0.0,train
synthetic_sse_graph::00000154,0,5,,5,4,0.0,train
synthetic_sse_graph::00000155,0,2,,2,1,0.0,train
synthetic_sse_graph::00000156,0,2,,2,1,0.0,train
synthetic_sse_graph::00000157,0,2,,2,1,0.0,train
synthetic_sse_graph::00000158,0,1,,1,0,0.0,train
synthetic_sse_graph::00000159,0,2,,2,1,0.0,train
synthetic_sse_graph::00000160,0,1,,1,0,0.0,train
synthetic_sse_graph::00000161,0,3,,3,2,0.0,train
synthetic_sse_graph::00000162,0,6,,6,5,0.0,train
synthetic_sse_graph::00000163,0,1,,1,0,0.0,train
synthetic_sse_graph::00000164,0,15,,15,14,0.07142857142857142,train
synthetic_sse_graph::00000165,0,21,,21,20,0.0,train
synthetic_sse_graph::00000166,0,1,,1,0,0.0,train
synthetic_sse_graph::00000167,0,1,,1,0,0.0,train
synthetic_sse_graph::00000168,0,17,,17,16,0.0,train
synthetic_sse_graph::00000169,0,2,,2,1,0.0,train
synthetic_sse_graph::00000170,0,1,,1,0,0.0,train
synthetic_sse_graph::00000171,0,2,,2,1,0.0,train
synthetic_sse_graph::00000172,0,19,,19,18,0.0,train
synthetic_sse_graph::00000173,0,6,,6,5,0.0,train
synthetic_sse_graph::00000174,0,5,,5,4,0.0,train
synthetic_sse_graph::00000175,0,1,,1,0,0.0,train
synthetic_sse_graph::00000176,0,1,,1,0,0.0,train
synthetic_sse_graph::00000177,0,2,,2,1,0.0,train
synthetic_sse_graph::00000178,0,9,,9,8,0.0,train
synthetic_sse_graph::00000179,0,5,,5,4,0.0,train
synthetic_sse_graph::00000180,0,2,,2,1,0.0,train
synthetic_sse_graph::00000181,0,1,,1,0,0.0,train
synthetic_sse_graph::00000182,0,20,,20,19,0.05263157894736842,train
synthetic_sse_graph::00000183,0,2,,2,1,0.0,train
synthetic_sse_graph::00000184,0,10,,10,9,0.0,train
synthetic_sse_graph::00000185,0,3,,3,2,0.0,train
synthetic_sse_graph::00000186,0,1,,1,0,0.0,train
synthetic_sse_graph::00000187,0,3,,3,2,0.0,train
synthetic_sse_graph::00000188,0,2,,2,1,0.0,train
synthetic_sse_graph::00000189,0,14,,14,13,0.0,train
synthetic_sse_graph::00000190,0,7,,7,6,0.0,train
synthetic_sse_graph::00000191,0,6,,6,5,0.0,train
synthetic_sse_graph::00000192,0,58,,58,57,0.0,train
synthetic_sse_graph::00000193,0,4,,4,3,0.0,train
synthetic_sse_graph::00000194,0,1,,1,0,0.0,train
synthetic_sse_graph::00000195,0,28,,28,27,0.0,train
synthetic_sse_graph::00000196,0,2,,2,1,0.0,train
synthetic_sse_graph::00000197,0,1,,1,0,0.0,train
synthetic_sse_graph::00000198,0,5,,5,4,0.0,train
synthetic_sse_graph::00000199,0,1,,1,0,0.0,train
synthetic_sse_graph::00000200,0,1,,1,0,0.0,train
synthetic_sse_graph::00000201,0,1,,1,0,0.0,train
synthetic_sse_graph::00000202,0,28,,28,27,0.07407407407407407,train
synthetic_sse_graph::00000203,0,1,,1,0,0.0,train
synthetic_sse_graph::00000204,1,6,200.0,6,5,0.0,train
synthetic_sse_graph::00000205,0,1,,1,0,0.0,train
synthetic_sse_graph::00000206,0,1,,1,0,0.0,train
synthetic_sse_graph::00000207,0,1,,1,0,0.0,train
synthetic_sse_graph::00000208,0,1,,1,0,0.0,train
synthetic_sse_graph::00000209,0,6,,6,5,0.0,train
synthetic_sse_graph::00000210,0,1,,1,0,0.0,train
synthetic_sse_graph::00000211,0,2,,2,1,0.0,train
synthetic_sse_graph::00000212,0,1,,1,0,0.0,train
synthetic_sse_graph::00000213,0,3,,3,2,0.0,train
synthetic_sse_graph::00000214,0,1,,1,0,0.0,train
synthetic_sse_graph::00000215,0,1,,1,0,0.0,train
synthetic_sse_graph::00000216,0,1,,1,0,0.0,train
synthetic_sse_graph::00000217,0,1,,1,0,0.0,train
synthetic_sse_graph::00000218,0,1,,1,0,0.0,train
synthetic_sse_graph::00000219,0,1,,1,0,0.0,train
synthetic_sse_graph::00000220,0,1,,1,0,0.0,train
synthetic_sse_graph::00000221,0,2,,2,1,0.0,train
synthetic_sse_graph::00000222,0,2,,2,1,0.0,train
synthetic_sse_graph::00000223,0,3,,3,2,0.0,train
synthetic_sse_graph::00000224,0,1,,1,0,0.0,train
synthetic_sse_graph::00000225,0,15,,15,14,0.07142857142857142,train
synthetic_sse_graph::00000226,0,1,,1,0,0.0,train
synthetic_sse_graph::00000227,0,4,,4,3,0.0,train
synthetic_sse_graph::00000228,0,1,,1,0,0.0,train
synthetic_sse_graph::00000229,0,1,,1,0,0.0,train
synthetic_sse_graph::00000230,0,1,,1,0,0.0,train
synthetic_sse_graph::00000231,0,9,,9,8,0.0,train
synthetic_sse_graph::00000232,0,5,,5,4,0.0,train
synthetic_sse_graph::00000233,0,2,,2,1,0.0,train
synthetic_sse_graph::00000234,0,1,,1,0,0.0,train
synthetic_sse_graph::00000235,0,1,,1,0,0.0,train
synthetic_sse_graph::00000236,0,4,,4,3,0.0,train
synthetic_sse_graph::00000237,0,1,,1,0,0.0,train
synthetic_sse_graph::00000238,1,322,220.0,64,63,0.12698412698412698,train
synthetic_sse_graph::00000239,0,3,,3,2,0.0,train
synthetic_sse_graph::00000240,0,1,,1,0,0.0,train
synthetic_sse_graph::00000241,0,2,,2,1,0.0,train
synthetic_sse_graph::00000242,0,5,,5,4,0.0,train
synthetic_sse_graph::00000243,0,1,,1,0,0.0,train
synthetic_sse_graph::00000244,0,2,,2,1,0.0,train
synthetic_sse_graph::00000245,0,2,,2,1,0.0,train
synthetic_sse_graph::00000246,0,7,,7,6,0.0,train
synthetic_sse_graph::00000247,0,1,,1,0,0.0,train
synthetic_sse_graph::00000248,0,2,,2,1,0.0,train
synthetic_sse_graph::00000249,0,4,,4,3,0.3333333333333333,train
synthetic_sse_graph::00000250,0,1,,1,0,0.0,train
synthetic_sse_graph::00000251,0,15,,15,14,0.07142857142857142,train
synthetic_sse_graph::00000252,0,6,,6,5,0.0,train
synthetic_sse_graph::00000253,0,36,,36,35,0.02857142857142857,train
synthetic_sse_graph::00000254,0,1,,1,0,0.0,train
synthetic_sse_graph::00000255,0,1,,1,0,0.0,train
synthetic_sse_graph::00000256,0,1,,1,0,0.0,train
synthetic_sse_graph::00000257,0,1,,1,0,0.0,train
synthetic_sse_graph::00000258,0,2,,2,1,0.0,train
synthetic_sse_graph::00000259,0,1,,1,0,0.0,train
synthetic_sse_graph::00000260,0,2,,2,1,0.0,train
synthetic_sse_graph::00000261,0,2,,2,1,0.0,train
synthetic_sse_graph::00000262,0,2,,2,1,0.0,train
synthetic_sse_graph::00000263,0,4,,4,3,0.0,train
synthetic_sse_graph::00000264,0,2,,2,1,0.0,train
synthetic_sse_graph::00000265,0,2,,2,1,0.0,train
synthetic_sse_graph::00000266,0,2,,2,1,0.0,train
synthetic_sse_graph::00000267,0,1,,1,0,0.0,train
synthetic_sse_graph::00000268,0,1,,1,0,0.0,train
synthetic_sse_graph::00000269,0,1,,1,0,0.0,train
synthetic_sse_graph::00000270,0,4,,4,3,0.0,train
synthetic_sse_graph::00000271,0,3,,3,2,0.0,train
synthetic_sse_graph::00000272,0,16,,16,15,0.0,train
synthetic_sse_graph::00000273,0,32,,32,31,0.03225806451612903,train
synthetic_sse_graph::00000274,0,1,,1,0,0.0,train
synthetic_sse_graph::00000275,0,3,,3,2,0.0,train
synthetic_sse_graph::00000276,0,1,,1,0,0.0,train
synthetic_sse_graph::00000277,0,6,,6,5,0.0,train
synthetic_sse_graph::00000278,0,1,,1,0,0.0,train
synthetic_sse_graph::00000279,0,3,,3,2,0.0,train
synthetic_sse_graph::00000280,1,6,280.0,6,5,0.0,train
synthetic_sse_graph::00000281,0,4,,4,3,0.0,train
synthetic_sse_graph::00000282,0,1,,1,0,0.0,train
synthetic_sse_graph::00000283,0,21,,21,20,0.0,train
synthetic_sse_graph::00000284,0,2,,2,1,0.0,train
synthetic_sse_graph::00000285,0,6,,6,5,0.0,train
synthetic_sse_graph::00000286,1,321,140.0,64,63,0.14285714285714285,train
synthetic_sse_graph::00000287,0,1,,1,0,0.0,train
synthetic_sse_graph::00000288,0,2,,2,1,0.0,train
synthetic_sse_graph::00000289,0,1,,1,0,0.0,train
synthetic_sse_graph::00000290,0,1,,1,0,0.0,train
synthetic_sse_graph::00000291,0,8,,8,7,0.0,train
synthetic_sse_graph::00000292,0,8,,8,7,0.0,train
synthetic_sse_graph::00000293,0,11,,11,10,0.0,train
synthetic_sse_graph::00000294,0,1,,1,0,0.0,train
synthetic_sse_graph::00000295,0,1,,1,0,0.0,train
synthetic_sse_graph::00000296,0,2,,2,1,0.0,train
synthetic_sse_graph::00000297,0,53,,53,52,0.0,train
synthetic_sse_graph::00000298,0,1,,1,0,0.0,train
synthetic_sse_graph::00000299,0,1,,1,0,0.0,train
synthetic_sse_graph::00000300,0,1,,1,0,0.0,train
synthetic_sse_graph::00000301,0,13,,13,12,0.0,train
synthetic_sse_graph::00000302,0,2,,2,1,0.0,train
synthetic_sse_graph::00000303,0,3,,3,2,0.0,train
synthetic_sse_graph::00000304,0,1,,1,0,0.0,train
synthetic_sse_graph::00000305,0,3,,3,2,0.0,train
synthetic_sse_graph::00000306,0,1,,1,0,0.0,train
synthetic_sse_graph::00000307,0,3,,3,2,0.0,train
synthetic_sse_graph::00000308,0,2,,2,1,0.0,train
synthetic_sse_graph::00000309,0,2,,2,1,0.0,train
synthetic_sse_graph::00000310,0,12,,12,11,0.0,train
synthetic_sse_graph::00000311,0,33,,33,32,0.0,train
synthetic_sse_graph::00000312,0,1,,1,0,0.0,train
synthetic_sse_graph::00000313,0,5,,5,4,0.0,train
synthetic_sse_graph::00000314,0,4,,4,3,0.0,train
synthetic_sse_graph::00000315,0,1,,1,0,0.0,train
synthetic_sse_graph::00000316,0,1,,1,0,0.0,train
synthetic_sse_graph::00000317,0,3,,3,2,0.0,train
synthetic_sse_graph::00000318,0,1,,1,0,0.0,train
synthetic_sse_graph::00000319,0,7,,7,6,0.0,train
synthetic_sse_graph::00000320,0,7,,7,6,0.0,train
synthetic_sse_graph::00000321,0,2,,2,1,0.0,train
synthetic_sse_graph::00000322,0,5,,5,4,0.25,train
synthetic_sse_graph::00000323,0,5,,5,4,0.0,train
synthetic_sse_graph::00000324,0,17,,17,16,0.0,train
synthetic_sse_graph::00000325,0,2,,2,1,0.0,train
synthetic_sse_graph::00000326,0,3,,3,2,0.0,train
synthetic_sse_graph::00000327,0,1,,1,0,0.0,train
synthetic_sse_graph::00000328,0,1,,1,0,0.0,train
synthetic_sse_graph::00000329,0,1,,1,0,0.0,train
synthetic_sse_graph::00000330,0,4,,4,3,0.0,train
synthetic_sse_graph::00000331,0,5,,5,4,0.0,train
synthetic_sse_graph::00000332,0,1,,1,0,0.0,train
synthetic_sse_graph::00000333,0,10,,10,9,0.0,train
synthetic_sse_graph::00000334,0,3,,3,2,0.0,train
synthetic_sse_graph::00000335,0,3,,3,2,0.0,train
synthetic_sse_graph::00000336,0,3,,3,2,0.0,train
synthetic_sse_graph::00000337,0,4,,4,3,0.0,train
synthetic_sse_graph::00000338,0,2,,2,1,0.0,train
synthetic_sse_graph::00000339,0,14,,14,13,0.0,train
synthetic_sse_graph::00000340,0,1,,1,0,0.0,train
synthetic_sse_graph::00000341,0,12,,12,11,0.0,train
synthetic_sse_graph::00000342,0,1,,1,0,0.0,train
synthetic_sse_graph::00000343,0,14,,14,13,0.07692307692307693,train
synthetic_sse_graph::00000344,0,3,,3,2,0.0,train
synthetic_sse_graph::00000345,0,1,,1,0,0.0,train
synthetic_sse_graph::00000346,0,2,,2,1,0.0,train
synthetic_sse_graph::00000347,0,31,,31,30,0.06666666666666667,train
synthetic_sse_graph::00000348,0,3,,3,2,0.5,train
synthetic_sse_graph::00000349,0,1,,1,0,0.0,train
synthetic_sse_graph::00000350,0,1,,1,0,0.0,train
synthetic_sse_graph::00000351,0,2,,2,1,0.0,train
synthetic_sse_graph::00000352,0,1,,1,0,0.0,train
synthetic_sse_graph::00000353,0,7,,7,6,0.0,train
synthetic_sse_graph::00000354,0,56,,56,55,0.01818181818181818,train
synthetic_sse_graph::00000355,0,2,,2,1,0.0,train
synthetic_sse_graph::00000356,0,2,,2,1,0.0,train
synthetic_sse_graph::00000357,0,32,,32,31,0.0,train
synthetic_sse_graph::00000358,0,2,,2,1,0.0,train
synthetic_sse_graph::00000359,0,37,,37,36,0.027777777777777776,train
synthetic_sse_graph::00000360,0,2,,2,1,0.0,train
synthetic_sse_graph::00000361,0,2,,2,1,0.0,train
synthetic_sse_graph::00000362,0,4,,4,3,0.0,train
synthetic_sse_graph::00000363,0,1,,1,0,0.0,train
synthetic_sse_graph::00000364,0,8,,8,7,0.0,train
synthetic_sse_graph::00000365,0,4,,4,3,0.0,train
synthetic_sse_graph::00000366,0,2,,2,1,0.0,train
synthetic_sse_graph::00000367,0,1,,1,0,0.0,train
synthetic_sse_graph::00000368,0,6,,6,5,0.0,train
synthetic_sse_graph::00000369,0,2,,2,1,0.0,train
synthetic_sse_graph::00000370,0,6,,6,5,0.0,train
synthetic_sse_graph::00000371,0,2,,2,1,0.0,train
synthetic_sse_graph::00000372,0,10,,10,9,0.0,train
synthetic_sse_graph::00000373,0,5,,5,4,0.0,train
synthetic_sse_graph::00000374,0,12,,12,11,0.0,train
synthetic_sse_graph::00000375,0,1,,1,0,0.0,train
synthetic_sse_graph::00000376,0,1,,1,0,0.0,train
synthetic_sse_graph::00000377,0,3,,3,2,0.0,train
synthetic_sse_graph::00000378,0,1,,1,0,0.0,train
synthetic_sse_graph::00000379,0,3,,3,2,0.0,train
synthetic_sse_graph::00000380,0,1,,1,0,0.0,train
synthetic_sse_graph::00000381,0,1,,1,0,0.0,train
synthetic_sse_graph::00000382,0,1,,1,0,0.0,train
synthetic_sse_graph::00000383,0,3,,3,2,0.0,train
synthetic_sse_graph::00000384,0,1,,1,0,0.0,train
synthetic_sse_graph::00000385,0,2,,2,1,0.0,train
synthetic_sse_graph::00000386,0,1,,1,0,0.0,train
synthetic_sse_graph::00000387,0,1,,1,0,0.0,train
synthetic_sse_graph::00000388,0,1,,1,0,0.0,train
synthetic_sse_graph::00000389,0,8,,8,7,0.0,train
synthetic_sse_graph::00000390,0,5,,5,4,0.0,train
synthetic_sse_graph::00000391,0,1,,1,0,0.0,train
synthetic_sse_graph::00000392,0,25,,25,24,0.041666666666666664,train
synthetic_sse_graph::00000393,0,1,,1,0,0.0,train
synthetic_sse_graph::00000394,0,1,,1,0,0.0,train
synthetic_sse_graph::00000395,0,3,,3,2,0.0,train
synthetic_sse_graph::00000396,0,10,,10,9,0.0,train
synthetic_sse_graph::00000397,0,2,,2,1,0.0,train
synthetic_sse_graph::00000398,0,3,,3,2,0.0,train
synthetic_sse_graph::00000399,0,12,,12,11,0.0,train
synthetic_sse_graph::00000400,0,6,,6,5,0.0,train
synthetic_sse_graph::00000401,0,1,,1,0,0.0,train
synthetic_sse_graph::00000402,0,1,,1,0,0.0,train
synthetic_sse_graph::00000403,0,20,,20,19,0.0,train
synthetic_sse_graph::00000404,0,1,,1,0,0.0,train
synthetic_sse_graph::00000405,0,2,,2,1,1.0,train
synthetic_sse_graph::00000406,0,1,,1,0,0.0,train
synthetic_sse_graph::00000407,0,3,,3,2,0.0,train
synthetic_sse_graph::00000408,0,7,,7,6,0.0,train
synthetic_sse_graph::00000409,0,30,,30,29,0.0,train
synthetic_sse_graph::00000410,0,1,,1,0,0.0,train
synthetic_sse_graph::00000411,0,1,,1,0,0.0,train
synthetic_sse_graph::00000412,0,1,,1,0,0.0,train
synthetic_sse_graph::00000413,0,1,,1,0,0.0,train
synthetic_sse_graph::00000414,1,320,120.0,64,63,0.1746031746031746,train
synthetic_sse_graph::00000415,0,1,,1,0,0.0,train
synthetic_sse_graph::00000416,0,1,,1,0,0.0,train
synthetic_sse_graph::00000417,0,1,,1,0,0.0,train
synthetic_sse_graph::00000418,0,1,,1,0,0.0,train
synthetic_sse_graph::00000419,0,9,,9,8,0.125,train
synthetic_sse_graph::00000420,0,2,,2,1,0.0,train
synthetic_sse_graph::00000421,0,1,,1,0,0.0,train
synthetic_sse_graph::00000422,0,1,,1,0,0.0,train
synthetic_sse_graph::00000423,0,5,,5,4,0.0,train
synthetic_sse_graph::00000424,0,27,,27,26,0.0,train
synthetic_sse_graph::00000425,0,2,,2,1,0.0,train
synthetic_sse_graph::00000426,0,1,,1,0,0.0,train
synthetic_sse_graph::00000427,0,7,,7,6,0.0,train
synthetic_sse_graph::00000428,0,12,,12,11,0.09090909090909091,train
synthetic_sse_graph::00000429,0,1,,1,0,0.0,train
synthetic_sse_graph::00000430,0,1,,1,0,0.0,train
synthetic_sse_graph::00000431,0,3,,3,2,0.0,train
synthetic_sse_graph::00000432,0,1,,1,0,0.0,train
synthetic_sse_graph::00000433,0,1,,1,0,0.0,train
synthetic_sse_graph::00000434,1,13,360.0,13,12,0.0,train
synthetic_sse_graph::00000435,0,1,,1,0,0.0,train
synthetic_sse_graph::00000436,0,1,,1,0,0.0,train
synthetic_sse_graph::00000437,0,7,,7,6,0.0,train
synthetic_sse_graph::00000438,0,2,,2,1,0.0,train
synthetic_sse_graph::00000439,0,2,,2,1,0.0,train
synthetic_sse_graph::00000440,0,5,,5,4,0.0,train
synthetic_sse_graph::00000441,0,3,,3,2,0.0,train
synthetic_sse_graph::00000442,0,1,,1,0,0.0,train
synthetic_sse_graph::00000443,0,1,,1,0,0.0,train
synthetic_sse_graph::00000444,0,8,,8,7,0.14285714285714285,train
synthetic_sse_graph::00000445,0,2,,2,1,1.0,train
synthetic_sse_graph::00000446,0,1,,1,0,0.0,train
synthetic_sse_graph::00000447,0,5,,5,4,0.0,train
synthetic_sse_graph::00000448,0,1,,1,0,0.0,train
synthetic_sse_graph::00000449,0,1,,1,0,0.0,train
synthetic_sse_graph::00000450,0,1,,1,0,0.0,train
synthetic_sse_graph::00000451,0,1,,1,0,0.0,train
synthetic_sse_graph::00000452,0,1,,1,0,0.0,train
synthetic_sse_graph::00000453,0,5,,5,4,0.0,train
synthetic_sse_graph::00000454,0,14,,14,13,0.0,train
synthetic_sse_graph::00000455,0,1,,1,0,0.0,train
synthetic_sse_graph::00000456,0,3,,3,2,0.0,train
synthetic_sse_graph::00000457,0,2,,2,1,0.0,train
